arms_cluster_id,object_signature_cluster_id,mult_top,mult_right,mult_bottom,mult_left
0,1,1.5,2.8381551335858326,2.75,2.4743448664141674
0,15,1.5,3.246449988430704,3.25,3.086883344902629
0,25,1.4025278279330935,2.0,3.0974721720669063,2.5
0,113,1.5,2.8789995784708857,3.5,2.954333754862448
1,1,1.25,1.9446153846153849,1.75,2.0553846153846154
1,11,1.5,3.315031234457124,4.0,3.559968765542876
1,15,1.25,2.1238984843144166,1.75,2.3761015156855834
1,34,1.75,3.9376241557409615,3.75,3.3957091775923716
1,113,1.4525626097441422,2.5,3.547437390255858,2.5
2,1,1.75,4.178220918912273,3.5,2.821779081087727
2,113,1.75,4.031104129367839,3.5,2.531395870632161
3,15,1.5,3.3788642686001364,3.25,2.9544690647331966
3,113,1.5,3.66758896380935,3.5,2.58241103619065
3,258,1.25,3.3750598827741007,3.25,2.6249401172258993
10,1,2.139456691617998,3.5,5.110543308382002,3.75
10,15,1.7134993276902812,2.75,4.036500672309719,3.0
11,1,1.75,2.4856318133360844,3.25,3.764368186663915
11,11,1.75,3.2527908049668035,3.5,4.6222091950331965
11,15,1.517490257406047,2.0,3.232509742593953,2.75
11,29,1.75,3.1111202659345416,3.75,4.222213067398791
11,34,2.0,4.073655929300344,4.0,4.926344070699656
11,58,1.75,3.1674189627315563,3.5,3.832581037268444
12,1,1.6421980623031711,2.5,4.107801937696829,3.25
12,11,1.5,2.286095918160641,3.75,3.838904081839359
12,15,1.4538341416661846,2.0,4.087832525000483,2.75
12,34,1.75,3.1643408670633946,4.0,4.5023257996032715
12,113,1.5329029750852805,2.5,4.21709702491472,3.25
13,1,2.0,4.114631122089959,3.5,3.2187022112433747
14,1,2.25,3.5397672868223955,3.5,4.126899379844271
15,1,1.75,3.004824818911738,3.5,3.120175181088262
15,11,2.0,3.7582026433684255,3.75,3.9084640232982406
15,15,2.0,3.2495833333333333,3.5,3.6254166666666663
15,34,2.0,4.186713136829157,4.0,3.8132868631708434
15,58,1.75,3.084778013291413,3.25,3.165221986708587
16,1,2.0,4.0606328684550625,5.0,4.106033798211605
17,1,2.0,4.508820874532077,5.0,3.6578457921345913
17,11,2.25,5.286134663341645,4.75,4.047198669991687
17,15,1.3047747866951267,2.75,5.257725213304873,2.5
17,19,2.255938858960213,4.75,5.994061141039786,3.5
17,34,2.0,5.120268067379097,4.75,3.8797319326209023
18,1,1.5,3.6897010154034944,3.5,3.8102989845965056
18,7,1.5,3.5837563921935236,3.5,3.916243607806477
18,15,1.25,3.255493213804344,3.75,3.411173452862322
18,28,1.25,3.2027795629820055,3.25,3.5472204370179945
18,29,1.5,3.517300414489098,3.5,3.982699585510902
18,113,1.5,3.019297870825322,3.5,3.647368795841344
18,586,1.5,3.602914559955161,3.5,3.897085440044839
18,727,1.5,3.833271355716107,3.75,4.041728644283893
18,733,1.5,3.856131142678224,3.75,4.018868857321776
18,734,1.5,3.8001789921450153,3.5,3.6998210078549847
18,1685,1.25,3.1407510335553503,3.5,3.1925822997779827
18,2263,1.25,2.9318035561415767,3.25,3.0681964438584233
18,2341,1.25,3.0568848318416055,3.0,3.3181151681583945
18,3052,1.5,3.677142695931841,3.5,3.822857304068159
18,3269,1.25,3.306600965995024,3.25,3.443399034004976
18,3316,1.5,4.171571637772214,4.0,4.078428362227786
19,1,1.75,4.060891719745222,4.0,3.605774946921444
19,11,1.75,4.11378428074716,4.0,3.552882385919506
19,15,1.584488115581793,2.75,4.165511884418207,3.0
19,34,1.75,3.810357549384884,3.75,3.522975783948449
20,1,1.5,2.730619116218299,3.5,3.519380883781701
20,15,1.25,2.53411328135119,3.0,3.84088671864881
20,113,1.5,2.699292251137801,3.5,3.967374415528865
21,1,1.5,3.308291997982872,3.75,3.254208002017128
21,11,1.5,3.2909988381226265,3.5,3.3756678285440396
21,15,1.5,3.277104704323106,3.75,3.285395295676894
21,28,1.5,3.370687430835429,3.75,3.191812569164571
21,34,1.5,3.7430508315545024,3.5,2.9236158351121637
21,58,1.5,3.63802901519703,4.25,3.54947098480297
21,113,1.5,3.181539664069029,3.75,2.943460335930971
21,181,1.5,4.219800954530319,4.25,3.4468657121363475
21,727,1.5,3.356467452710304,3.5,3.3101992139563623
21,733,1.5,3.572447784922817,3.75,3.427552215077183
21,783,1.5,3.5157624182823937,3.75,3.4842375817176063
21,960,1.4356078591649186,2.75,4.314392140835081,3.0
21,1685,1.5,3.472015948354202,3.75,3.527984051645798
22,1,1.53679881094561,2.25,4.004867855721057,2.5
22,11,1.5,2.8344354442691024,3.5,3.832231222397563
22,15,1.523862220693678,2.25,4.101137779306322,2.25
22,34,1.75,3.159868989817592,3.75,4.173464343515741
22,113,1.369245893290031,2.5,3.880754106709969,2.75
23,1,1.75,2.9368025111572225,3.25,3.3131974888427775
23,34,2.0,3.3991086648837525,3.75,4.267558001782914
25,1,1.5,2.653529056190271,4.0,4.679804277143062
25,15,1.5,2.599655399167923,4.25,4.587844600832077
25,113,1.5,2.839844440516174,4.5,4.660155559483826
26,1,1.5,3.141597749561902,3.25,3.191735583771431
26,7,1.25,2.87012987012987,3.0,2.796536796536796
26,15,1.5,3.226636505574169,3.25,3.106696827759164
26,25,1.75,3.896930480112722,3.5,3.978069519887278
26,113,1.5,3.2035569484225355,3.25,3.1297763849107976
26,734,1.25,2.816739124636599,3.25,3.183260875363401
26,2341,1.5,3.1781827790410446,3.5,3.4884838876256214
27,1,1.75,2.7436454691486345,4.25,4.2563545308513655
28,1,1.75,3.268230543445858,3.75,4.065102789887475
28,15,1.75,3.370834699694776,4.0,4.29583196697189
28,34,1.75,3.524981798717569,3.5,4.350018201282431
28,113,1.5,3.145639663567951,4.0,4.187693669765382
29,1,1.9413494516432508,3.0,4.766983881690083,2.75
29,11,2.00667248112741,3.5,4.74332751887259,3.25
29,34,2.0,4.182231532076674,4.25,3.6302684679233255
30,1,1.75,4.051982007020143,3.75,3.2813513263131893
30,11,1.75,4.104623098073507,3.75,3.2287102352598267
30,15,1.5,3.973688036051751,3.5,2.6929786306149146
30,29,1.75,3.760241168696188,3.75,3.114758831303812
30,34,1.75,4.318691042092559,3.5,3.556308957907441
30,58,1.75,3.905496692088018,3.75,3.427836641245315
30,113,1.75,3.6960156428358184,4.0,3.0123176904975155
30,181,1.75,4.198909728446842,3.75,3.134423604886491
31,1,1.7270611736359238,2.5,3.522938826364076,2.75
31,11,2.0,3.3917831620677066,3.75,3.7957168379322934
31,15,1.7445852490884246,2.75,3.755414750911576,2.75
31,34,2.0,3.465272582229103,3.75,3.722227417770897
32,1,1.75,3.6865271034586313,4.5,3.605139563208035
32,15,1.75,3.5721092757306225,4.25,3.4278907242693775
32,25,1.75,3.4627617653681604,4.5,3.8289049012985066
32,113,1.75,3.968203483654985,4.75,3.615129849678349
32,586,1.5,3.780022505716825,4.0,3.553310827616508
34,15,3.036603221083456,4.0,8.296730112249879,4.5
35,25,1.25,2.1876189041442884,1.75,2.3123810958557116
35,388,1.25,1.900055679287305,2.25,2.4749443207126953
35,586,1.25,2.766694793868502,2.5,2.858305206131498
36,15,1.7591223632210466,2.25,3.553377636778954,2.0
37,15,1.5,2.768941979522185,3.25,2.7727246871444824
37,113,1.6555238678559123,3.25,5.094476132144088,3.5
39,15,1.75,3.989451826063923,3.75,3.34388150726941
39,113,1.5,4.095487414765943,4.0,3.23784591856739
41,15,1.773238830679417,2.0,2.476761169320583,2.25
42,113,1.5110323089046491,2.5,3.4889676910953504,2.5
42,1685,1.75,3.4042925672695197,3.75,3.4707074327304803
43,15,1.482608695652174,2.25,2.767391304347826,2.0
44,11,2.0,3.6848656135359734,4.0,3.8151343864640266
44,15,1.75,3.473794398733999,4.0,3.2345389345993345
44,1685,1.5,2.812237906798181,3.25,2.729428759868486
45,28,1.5,3.693632520684393,4.25,3.4938674793156075
100,1,1.5,3.0880896826109066,3.25,3.2452436507224265
100,7,1.25,2.9011763971666618,2.75,3.0988236028333382
100,15,1.25,2.7387599462157155,3.25,3.2612400537842845
100,34,1.5,3.820070239174217,3.5,3.679929760825783
100,113,1.25,2.6651588990206956,3.25,3.3348411009793044
100,133,1.5,3.9363984333273994,3.75,3.9386015666726006
100,272,1.5,3.6941927474965857,3.75,3.3058072525034143
100,733,1.25,3.2226597569555717,3.75,3.4440069097110944
100,734,1.25,3.3060529204000657,3.25,3.4439470795999343
100,2263,1.25,3.158090644133304,3.5,3.175242689200029
