class_id,conf_band,slot,slot_assignment_count,slot_unique_detections,slot_images
1,high_conf,left_hand,6172,6172,6172
1,high_conf,right_hand,6362,6362,6362
13,high_conf,shoulder,4438,4438,4438
24,high_conf,feet,1010,1010,1010
24,high_conf,left_hand,2290,2290,2290
24,high_conf,mouth,575,575,575
24,high_conf,right_hand,2455,2455,2455
24,high_conf,shoulder,1744,1744,1744
24,high_conf,waist,1907,1907,1907
25,high_conf,feet,461,461,461
25,high_conf,left_hand,4007,4007,4007
25,high_conf,mouth,135,135,135
25,high_conf,right_hand,4658,4658,4658
25,high_conf,shoulder,302,302,302
25,high_conf,top_face,2,2,2
25,high_conf,waist,956,956,956
26,high_conf,feet,17601,17601,17601
26,high_conf,left_eye,82,82,82
26,high_conf,left_hand,13419,13419,13419
26,high_conf,mouth,1584,1584,1584
26,high_conf,right_eye,60,60,60
26,high_conf,right_hand,13158,13158,13158
26,high_conf,shoulder,3633,3633,3633
26,high_conf,top_face,3,3,3
26,high_conf,waist,12969,12969,12969
27,high_conf,left_hand,5014,5014,5014
27,high_conf,mouth,199641,199641,199641
27,high_conf,right_hand,6089,6089,6089
27,high_conf,shoulder,622433,622433,622433
39,high_conf,feet,1649,1649,1649
39,high_conf,left_eye,127,127,127
39,high_conf,left_hand,6575,6575,6575
39,high_conf,mouth,910,910,910
39,high_conf,right_eye,97,97,97
39,high_conf,right_hand,7715,7715,7715
39,high_conf,shoulder,258,258,258
39,high_conf,top_face,15,15,15
40,high_conf,feet,1253,1253,1253
40,high_conf,left_eye,100,100,100
40,high_conf,left_hand,5824,5824,5824
40,high_conf,mouth,716,716,716
40,high_conf,right_eye,44,44,44
40,high_conf,right_hand,7855,7855,7855
40,high_conf,shoulder,200,200,200
40,high_conf,top_face,3,3,3
41,high_conf,feet,26506,26506,26506
41,high_conf,left_eye,271,271,271
41,high_conf,left_hand,70277,70277,70277
41,high_conf,mouth,24866,24866,24866
41,high_conf,right_eye,167,167,167
41,high_conf,right_hand,78576,78576,78576
41,high_conf,shoulder,1503,1503,1503
41,high_conf,top_face,17,17,17
41,high_conf,waist,9350,9350,9350
42,high_conf,left_eye,4,4,4
42,high_conf,left_hand,345,345,345
42,high_conf,mouth,111,111,111
42,high_conf,right_eye,5,5,5
42,high_conf,right_hand,488,488,488
42,high_conf,shoulder,94,94,94
42,high_conf,top_face,1,1,1
42,high_conf,waist,152,152,152
43,high_conf,left_eye,2,2,2
43,high_conf,left_hand,440,440,440
43,high_conf,mouth,128,128,128
43,high_conf,right_eye,1,1,1
43,high_conf,right_hand,619,619,619
43,high_conf,shoulder,24,24,24
43,high_conf,top_face,1,1,1
43,high_conf,waist,219,219,219
44,high_conf,left_eye,34,34,34
44,high_conf,left_hand,364,364,364
44,high_conf,mouth,286,286,286
44,high_conf,right_eye,26,26,26
44,high_conf,right_hand,641,641,641
44,high_conf,shoulder,99,99,99
44,high_conf,top_face,4,4,4
44,high_conf,waist,510,510,510
